gene	v5	v6	v7	v8	chrom
BCL2	TRUE	TRUE	TRUE	TRUE	chr18
BCL2L11	TRUE	TRUE	TRUE	TRUE	chr2
BCOR	TRUE	TRUE	TRUE	TRUE	chrX
BCORL1	TRUE	TRUE	TRUE	TRUE	chrX
BCR	TRUE	TRUE	TRUE	TRUE	chr22
BICRA	FALSE	FALSE	FALSE	TRUE	chr19
BIRC3	FALSE	TRUE	TRUE	TRUE	chr11
BLM	FALSE	FALSE	TRUE	TRUE	chr15
BMPR1A	FALSE	TRUE	TRUE	TRUE	chr10
BRAF	TRUE	TRUE	TRUE	TRUE	chr7
BRCA1	TRUE	TRUE	TRUE	TRUE	chr17
BRCA2	TRUE	TRUE	TRUE	TRUE	chr13
BRIP1	TRUE	TRUE	TRUE	TRUE	chr17
BRWD3	FALSE	FALSE	TRUE	TRUE	chrX
BTK	FALSE	TRUE	TRUE	TRUE	chrX
C11ORF95	FALSE	FALSE	TRUE	FALSE	NA
CALR	TRUE	TRUE	TRUE	TRUE	chr19
CARD11	FALSE	TRUE	TRUE	TRUE	chr7
CBL	TRUE	TRUE	TRUE	TRUE	chr11
CBLB	TRUE	TRUE	TRUE	TRUE	chr3
CBLC	TRUE	TRUE	TRUE	TRUE	chr19
CCL2	FALSE	FALSE	FALSE	TRUE	chr17
CCND1	TRUE	TRUE	TRUE	TRUE	chr11
CCND2	FALSE	TRUE	TRUE	TRUE	chr12
CCNE1	TRUE	TRUE	TRUE	TRUE	chr19
CD19	FALSE	TRUE	TRUE	TRUE	chr16
CD274	FALSE	TRUE	TRUE	TRUE	chr9
CD33	FALSE	TRUE	FALSE	TRUE	chr19
CD74	FALSE	TRUE	TRUE	TRUE	chr5
CD79B	FALSE	FALSE	FALSE	TRUE	chr17
CDC25A	FALSE	FALSE	FALSE	TRUE	chr3
CDC27	FALSE	TRUE	FALSE	TRUE	chr17
CDH1	TRUE	TRUE	TRUE	TRUE	chr16
CDK12	TRUE	TRUE	TRUE	TRUE	chr17
CDK4	TRUE	TRUE	TRUE	TRUE	chr12
CDK6	TRUE	TRUE	TRUE	TRUE	chr7
CDK8	TRUE	TRUE	TRUE	TRUE	chr13
CDK9	FALSE	TRUE	TRUE	TRUE	chr9
CDKN1A	TRUE	TRUE	TRUE	TRUE	chr6
CDKN1B	FALSE	FALSE	FALSE	TRUE	chr12
CDKN1C	FALSE	FALSE	TRUE	TRUE	chr11
CDKN2A	TRUE	TRUE	TRUE	TRUE	chr9
CDKN2B	FALSE	TRUE	TRUE	TRUE	chr9
CEBPA	TRUE	TRUE	TRUE	TRUE	chr19
CHD1	TRUE	TRUE	TRUE	TRUE	chr5
CHD3	FALSE	FALSE	TRUE	TRUE	chr17
CHD4	FALSE	FALSE	FALSE	TRUE	chr12
CHD8	FALSE	FALSE	TRUE	TRUE	chr14
CHEK1	TRUE	TRUE	TRUE	TRUE	chr11
CHEK2	TRUE	TRUE	TRUE	TRUE	chr22
COG5	FALSE	FALSE	TRUE	TRUE	chr7
CRADD	FALSE	FALSE	TRUE	TRUE	chr12
CREBBP	TRUE	TRUE	TRUE	TRUE	chr16
CRLF2	TRUE	TRUE	TRUE	TRUE	chrX
CRX	FALSE	TRUE	TRUE	TRUE	chr19
CRYBG1	FALSE	FALSE	FALSE	TRUE	chr6
CSF1R	TRUE	TRUE	TRUE	TRUE	chr5
CSF3R	TRUE	TRUE	TRUE	TRUE	chr1
CTCF	FALSE	TRUE	TRUE	TRUE	chr16
CTNNA1	FALSE	TRUE	TRUE	TRUE	chr5
CTNNB1	TRUE	TRUE	TRUE	TRUE	chr3
CUX1	TRUE	TRUE	TRUE	TRUE	chr7
CXCR4	FALSE	FALSE	FALSE	TRUE	chr2
CYP1B1	TRUE	FALSE	FALSE	FALSE	chr2
CYP2C19	TRUE	FALSE	FALSE	FALSE	chr10
CYP2C8	TRUE	FALSE	FALSE	FALSE	chr10
CYP2D6	TRUE	FALSE	FALSE	FALSE	chr22
CYP3A4	TRUE	FALSE	FALSE	FALSE	chr7
CYP3A5	TRUE	FALSE	FALSE	FALSE	chr7
DAXX	TRUE	TRUE	TRUE	TRUE	chr6
DDR2	TRUE	TRUE	TRUE	TRUE	chr1
DDX41	FALSE	TRUE	TRUE	TRUE	chr5
DEPDC5	TRUE	TRUE	TRUE	TRUE	chr22
DICER1	FALSE	TRUE	TRUE	TRUE	chr14
DIS3L2	FALSE	FALSE	TRUE	TRUE	chr2
DNAJB1	TRUE	TRUE	TRUE	TRUE	chr19
DNMT3A	TRUE	TRUE	TRUE	TRUE	chr2
DOCK7	TRUE	TRUE	TRUE	TRUE	chr1
DPYD	TRUE	TRUE	TRUE	FALSE	chr1
EBF1	FALSE	TRUE	TRUE	TRUE	chr5
EED	FALSE	FALSE	TRUE	TRUE	chr11
EGFR	TRUE	TRUE	TRUE	TRUE	chr7
EGLN1	FALSE	FALSE	TRUE	TRUE	chr1
EIF3A	TRUE	FALSE	FALSE	FALSE	chr10
EIF3E	TRUE	TRUE	TRUE	TRUE	chr8
ELF1	FALSE	TRUE	FALSE	TRUE	chr13
ELP1	FALSE	FALSE	FALSE	TRUE	chr9
EML4	TRUE	TRUE	TRUE	TRUE	chr2
ENG	FALSE	FALSE	FALSE	TRUE	chr9
ENPP3	FALSE	FALSE	TRUE	TRUE	chr6
EP300	FALSE	TRUE	TRUE	TRUE	chr22
EPAS1	FALSE	TRUE	TRUE	TRUE	chr2
EPCAM	FALSE	TRUE	TRUE	TRUE	chr2
EPHA3	TRUE	TRUE	TRUE	TRUE	chr3
EPHA5	TRUE	TRUE	TRUE	TRUE	chr4
EPHB2	TRUE	TRUE	TRUE	TRUE	chr1
EPHB6	TRUE	TRUE	TRUE	TRUE	chr7
EPO	FALSE	FALSE	TRUE	TRUE	chr7
EPOR	FALSE	FALSE	TRUE	TRUE	chr19
ERBB2	TRUE	TRUE	TRUE	TRUE	chr17
ERBB3	TRUE	TRUE	TRUE	TRUE	chr12
ERBB4	TRUE	TRUE	TRUE	TRUE	chr2
ERCC2	TRUE	TRUE	TRUE	TRUE	chr19
ERG	FALSE	TRUE	TRUE	TRUE	chr21
ESR1	TRUE	TRUE	TRUE	TRUE	chr6
ESR2	TRUE	TRUE	TRUE	TRUE	chr14
ETNK1	FALSE	FALSE	FALSE	TRUE	chr12
ETV6	TRUE	TRUE	TRUE	TRUE	chr12
EZH2	TRUE	TRUE	TRUE	TRUE	chr7
FAM175A	TRUE	TRUE	TRUE	FALSE	NA
FAM19A2	FALSE	FALSE	TRUE	FALSE	NA
FANCA	TRUE	TRUE	TRUE	TRUE	chr16
FANCB	FALSE	TRUE	TRUE	TRUE	chrX
FANCC	FALSE	TRUE	TRUE	TRUE	chr9
FANCD2	FALSE	TRUE	TRUE	TRUE	chr3
FANCE	FALSE	TRUE	TRUE	TRUE	chr6
FANCF	FALSE	TRUE	TRUE	TRUE	chr11
FANCG	FALSE	TRUE	TRUE	TRUE	chr9
FANCI	FALSE	TRUE	TRUE	TRUE	chr15
FANCL	FALSE	TRUE	TRUE	TRUE	chr2
FANCM	FALSE	TRUE	TRUE	TRUE	chr14
FBXW7	TRUE	TRUE	TRUE	TRUE	chr4
FCGR1A	TRUE	FALSE	FALSE	FALSE	chr1
FCGR2A	TRUE	FALSE	FALSE	FALSE	chr1
FCGR3A	TRUE	FALSE	FALSE	FALSE	chr1
FGFR1	TRUE	TRUE	TRUE	TRUE	chr8
FGFR2	TRUE	TRUE	TRUE	TRUE	chr10
FGFR3	TRUE	TRUE	TRUE	TRUE	chr4
FGFR4	TRUE	TRUE	TRUE	TRUE	chr5
FH	FALSE	TRUE	TRUE	TRUE	chr1
FKBP1A	TRUE	TRUE	TRUE	TRUE	chr20
FLCN	FALSE	FALSE	FALSE	TRUE	chr17
FLT1	TRUE	TRUE	TRUE	TRUE	chr13
FLT3	TRUE	TRUE	TRUE	TRUE	chr13
FLT4	TRUE	TRUE	TRUE	TRUE	chr5
FOLR1	FALSE	FALSE	FALSE	TRUE	chr11
FOXA1	TRUE	TRUE	TRUE	TRUE	chr14
FOXL2	FALSE	FALSE	FALSE	TRUE	chr3
FOXR2	FALSE	TRUE	TRUE	TRUE	chrX
FUBP1	FALSE	FALSE	TRUE	TRUE	chr1
GAB2	TRUE	TRUE	TRUE	TRUE	chr11
GALNT12	FALSE	TRUE	TRUE	TRUE	chr9
GATA1	TRUE	TRUE	TRUE	TRUE	chrX
GATA2	TRUE	TRUE	TRUE	TRUE	chr3
GATA3	TRUE	TRUE	TRUE	TRUE	chr10
GEN1	FALSE	TRUE	TRUE	TRUE	chr2
GFAP	FALSE	FALSE	FALSE	TRUE	chr17
GLI1	TRUE	TRUE	TRUE	TRUE	chr12
GLI2	FALSE	FALSE	FALSE	TRUE	chr2
GLI3	FALSE	FALSE	TRUE	TRUE	chr7
GLTSCR1	FALSE	TRUE	TRUE	FALSE	NA
GLTSCR2	FALSE	TRUE	TRUE	FALSE	NA
GNA11	TRUE	TRUE	TRUE	TRUE	chr19
GNAQ	TRUE	TRUE	TRUE	TRUE	chr9
GNAS	TRUE	TRUE	TRUE	TRUE	chr20
GNB1	FALSE	FALSE	FALSE	TRUE	chr1
GPC3	FALSE	FALSE	TRUE	TRUE	chrX
GREM1	FALSE	TRUE	TRUE	TRUE	chr15
GRIN2A	TRUE	TRUE	TRUE	TRUE	chr16
GRM3	TRUE	TRUE	TRUE	TRUE	chr7
GSTP1	TRUE	FALSE	FALSE	FALSE	chr11
H3-3A	TRUE	TRUE	FALSE	TRUE	chr1
H3-3B	FALSE	TRUE	FALSE	TRUE	chr17
H3C2	FALSE	FALSE	FALSE	TRUE	chr6
H3C3	FALSE	FALSE	FALSE	TRUE	chr6
H3F3A	FALSE	FALSE	TRUE	FALSE	NA
H3F3B	FALSE	FALSE	TRUE	FALSE	NA
HDAC4	TRUE	TRUE	TRUE	TRUE	chr2
HDAC9	FALSE	TRUE	TRUE	TRUE	chr7
HEPACAM	FALSE	FALSE	FALSE	TRUE	chr11
HIF1A	TRUE	TRUE	TRUE	TRUE	chr14
HIST1H3B	FALSE	TRUE	TRUE	FALSE	NA
HNF1A	TRUE	TRUE	TRUE	TRUE	chr12
HNRNPU	FALSE	FALSE	TRUE	TRUE	chr1
HOOK3	FALSE	FALSE	TRUE	TRUE	chr8
HOXB13	FALSE	FALSE	FALSE	TRUE	chr17
HRAS	TRUE	TRUE	TRUE	TRUE	chr11
HSPH1	TRUE	TRUE	TRUE	TRUE	chr13
ID3	FALSE	TRUE	TRUE	TRUE	chr1
IDH1	TRUE	TRUE	TRUE	TRUE	chr2
IDH2	TRUE	TRUE	TRUE	TRUE	chr15
IGF1R	TRUE	TRUE	TRUE	TRUE	chr15
IKZF1	TRUE	TRUE	TRUE	TRUE	chr7
IL7R	TRUE	TRUE	TRUE	TRUE	chr5
ITPA	TRUE	FALSE	FALSE	FALSE	chr20
JAK1	TRUE	TRUE	TRUE	TRUE	chr1
JAK2	TRUE	TRUE	TRUE	TRUE	chr9
JAK3	TRUE	TRUE	TRUE	TRUE	chr19
KCNJ8	FALSE	FALSE	TRUE	TRUE	chr12
KDM2B	FALSE	FALSE	TRUE	TRUE	chr12
KDM6A	TRUE	TRUE	TRUE	TRUE	chrX
KDR	TRUE	TRUE	TRUE	TRUE	chr4
KIF1B	FALSE	FALSE	FALSE	TRUE	chr1
KIF5B	TRUE	TRUE	TRUE	TRUE	chr10
KIT	TRUE	TRUE	TRUE	TRUE	chr4
KLF4	FALSE	TRUE	TRUE	TRUE	chr9
KMT2A	TRUE	TRUE	TRUE	TRUE	chr11
KMT2C	FALSE	TRUE	TRUE	TRUE	chr7
KMT2D	FALSE	TRUE	TRUE	TRUE	chr12
KRAS	TRUE	TRUE	TRUE	TRUE	chr12
KTN1	FALSE	FALSE	TRUE	TRUE	chr14
LRP2	TRUE	FALSE	FALSE	FALSE	chr2
LYST	FALSE	FALSE	TRUE	TRUE	chr1
LZTR1	FALSE	FALSE	FALSE	TRUE	chr22
MAN1B1	TRUE	FALSE	FALSE	FALSE	chr9
MAP2K1	TRUE	TRUE	TRUE	TRUE	chr15
MAP2K2	TRUE	TRUE	TRUE	TRUE	chr19
MAP2K4	TRUE	TRUE	TRUE	TRUE	chr17
MAP7	FALSE	FALSE	TRUE	TRUE	chr6
MAPK1	TRUE	TRUE	TRUE	TRUE	chr22
MAX	FALSE	TRUE	TRUE	TRUE	chr14
MBD4	FALSE	FALSE	FALSE	TRUE	chr3
MC1R	TRUE	TRUE	TRUE	TRUE	chr16
MCL1	TRUE	TRUE	TRUE	TRUE	chr1
MDM2	TRUE	TRUE	TRUE	TRUE	chr12
MDM4	TRUE	TRUE	TRUE	TRUE	chr1
MED12	TRUE	TRUE	TRUE	TRUE	chrX
MEGF6	FALSE	TRUE	TRUE	TRUE	chr1
MEN1	TRUE	TRUE	TRUE	TRUE	chr11
MET	TRUE	TRUE	TRUE	TRUE	chr7
MIOS	TRUE	TRUE	TRUE	TRUE	chr7
MITF	TRUE	TRUE	TRUE	TRUE	chr3
MLH1	TRUE	TRUE	TRUE	TRUE	chr3
MLH3	TRUE	TRUE	TRUE	TRUE	chr14
MN1	FALSE	TRUE	TRUE	TRUE	chr22
MPL	TRUE	TRUE	TRUE	TRUE	chr1
MRE11	TRUE	TRUE	FALSE	TRUE	chr11
MRE11A	FALSE	FALSE	TRUE	FALSE	NA
MSH2	TRUE	TRUE	TRUE	TRUE	chr2
MSH3	FALSE	FALSE	FALSE	TRUE	chr5
MSH6	TRUE	TRUE	TRUE	TRUE	chr2
MSLN	FALSE	TRUE	FALSE	TRUE	chr16
MTAP	TRUE	TRUE	TRUE	TRUE	chr9
MTHFR	TRUE	FALSE	FALSE	FALSE	chr1
MTOR	TRUE	TRUE	TRUE	TRUE	chr1
MUTYH	TRUE	TRUE	TRUE	TRUE	chr1
MYB	FALSE	TRUE	TRUE	TRUE	chr6
MYC	TRUE	TRUE	TRUE	TRUE	chr8
MYCL	TRUE	TRUE	FALSE	TRUE	chr1
MYCL1	FALSE	FALSE	TRUE	FALSE	NA
MYCN	TRUE	TRUE	TRUE	TRUE	chr2
MYD88	TRUE	TRUE	TRUE	TRUE	chr3
MYOD1	FALSE	TRUE	TRUE	TRUE	chr11
NAB2	FALSE	TRUE	TRUE	TRUE	chr12
NAT2	FALSE	TRUE	TRUE	TRUE	chr8
NBN	TRUE	TRUE	TRUE	TRUE	chr8
NF1	TRUE	TRUE	TRUE	TRUE	chr17
NF2	TRUE	TRUE	TRUE	TRUE	chr22
NKX2-1	TRUE	TRUE	TRUE	TRUE	chr14
NOP53	FALSE	FALSE	FALSE	TRUE	chr19
NOTCH1	TRUE	TRUE	TRUE	TRUE	chr9
NOTCH2	TRUE	TRUE	TRUE	TRUE	chr1
NOTCH3	FALSE	TRUE	TRUE	TRUE	chr19
NOTCH4	FALSE	FALSE	FALSE	TRUE	chr6
NPM1	TRUE	TRUE	TRUE	TRUE	chr5
NPRL2	TRUE	TRUE	TRUE	TRUE	chr3
NPRL3	TRUE	TRUE	TRUE	TRUE	chr16
NQO1	TRUE	FALSE	FALSE	FALSE	chr16
NR4A3	FALSE	TRUE	TRUE	TRUE	chr9
NRAS	TRUE	TRUE	TRUE	TRUE	chr1
NRG1	FALSE	FALSE	FALSE	TRUE	chr8
NRP1	FALSE	FALSE	TRUE	TRUE	chr10
NRP2	TRUE	FALSE	FALSE	FALSE	chr2
NSD1	FALSE	FALSE	TRUE	TRUE	chr5
NT5C2	FALSE	TRUE	TRUE	TRUE	chr10
NTHL1	FALSE	TRUE	TRUE	TRUE	chr16
NTRK1	TRUE	TRUE	TRUE	TRUE	chr1
NTRK2	TRUE	TRUE	TRUE	TRUE	chr9
NTRK3	TRUE	TRUE	TRUE	TRUE	chr15
NUDT15	FALSE	TRUE	TRUE	TRUE	chr13
OFD1	FALSE	FALSE	TRUE	TRUE	chrX
PAK1	TRUE	TRUE	TRUE	TRUE	chr11
PALB2	TRUE	TRUE	TRUE	TRUE	chr16
PARP1	FALSE	FALSE	FALSE	TRUE	chr1
PAX5	TRUE	TRUE	TRUE	TRUE	chr9
PBRM1	TRUE	TRUE	TRUE	TRUE	chr3
PDCD1LG2	FALSE	TRUE	TRUE	TRUE	chr9
PDGFB	FALSE	FALSE	FALSE	TRUE	chr22
PDGFRA	TRUE	TRUE	TRUE	TRUE	chr4
PDGFRB	TRUE	TRUE	TRUE	TRUE	chr5
PHF6	TRUE	TRUE	TRUE	TRUE	chrX
PHOX2B	FALSE	TRUE	TRUE	TRUE	chr4
PIGA	FALSE	FALSE	TRUE	TRUE	chrX
PIK3CA	TRUE	TRUE	TRUE	TRUE	chr3
PIK3CB	TRUE	TRUE	TRUE	TRUE	chr3
PIK3R1	TRUE	TRUE	TRUE	TRUE	chr5
PIK3R2	FALSE	FALSE	FALSE	TRUE	chr19
PLCG2	FALSE	TRUE	TRUE	TRUE	chr16
PLK1	TRUE	TRUE	TRUE	TRUE	chr16
PLK2	TRUE	TRUE	TRUE	TRUE	chr5
PLK3	TRUE	TRUE	TRUE	TRUE	chr1
PLK4	TRUE	TRUE	TRUE	TRUE	chr4
PML	TRUE	TRUE	TRUE	TRUE	chr15
PMS2	TRUE	TRUE	TRUE	TRUE	chr7
POLD1	TRUE	TRUE	TRUE	TRUE	chr19
POLE	TRUE	TRUE	TRUE	TRUE	chr12
POT1	FALSE	FALSE	FALSE	TRUE	chr7
PPM1D	FALSE	TRUE	TRUE	TRUE	chr17
PPP1CB	FALSE	FALSE	TRUE	TRUE	chr2
PRKAR1A	FALSE	TRUE	TRUE	TRUE	chr17
PRPF40B	TRUE	TRUE	TRUE	TRUE	chr12
PRPF8	FALSE	FALSE	FALSE	TRUE	chr17
PRPS1	FALSE	TRUE	TRUE	TRUE	chrX
PTCH1	TRUE	TRUE	TRUE	TRUE	chr9
PTEN	TRUE	TRUE	TRUE	TRUE	chr10
PTPN11	TRUE	TRUE	TRUE	TRUE	chr12
PTPRD	TRUE	TRUE	TRUE	TRUE	chr9
QKI	FALSE	TRUE	TRUE	TRUE	chr6
RAC1	TRUE	TRUE	TRUE	TRUE	chr7
RAD21	TRUE	TRUE	TRUE	TRUE	chr8
RAD50	FALSE	FALSE	FALSE	TRUE	chr5
RAD51B	FALSE	TRUE	TRUE	TRUE	chr14
RAD51C	TRUE	TRUE	TRUE	TRUE	chr17
RAD51D	TRUE	TRUE	TRUE	TRUE	chr17
RAD54L	FALSE	FALSE	FALSE	TRUE	chr1
RAF1	TRUE	TRUE	TRUE	TRUE	chr3
RARA	TRUE	TRUE	TRUE	TRUE	chr17
RASA1	FALSE	FALSE	TRUE	TRUE	chr5
RB1	TRUE	TRUE	TRUE	TRUE	chr13
RECQL	FALSE	TRUE	TRUE	TRUE	chr12
RELA	FALSE	TRUE	TRUE	TRUE	chr11
RET	TRUE	TRUE	TRUE	TRUE	chr10
RHEB	TRUE	TRUE	TRUE	TRUE	chr7
RHOA	FALSE	FALSE	FALSE	TRUE	chr3
RICTOR	TRUE	TRUE	TRUE	TRUE	chr5
RINT1	FALSE	TRUE	TRUE	TRUE	chr7
RIT1	FALSE	TRUE	TRUE	TRUE	chr1
RNF43	FALSE	FALSE	FALSE	TRUE	chr17
ROR1	FALSE	TRUE	TRUE	TRUE	chr1
ROS1	TRUE	TRUE	TRUE	TRUE	chr6
RPL10	FALSE	TRUE	TRUE	TRUE	chrX
RPL31	FALSE	FALSE	TRUE	TRUE	chr2
RPS14	TRUE	TRUE	FALSE	TRUE	chr5
RPS15	FALSE	TRUE	TRUE	TRUE	chr19
RPS20	FALSE	TRUE	TRUE	TRUE	chr8
RPTOR	TRUE	TRUE	TRUE	TRUE	chr17
RRM1	FALSE	TRUE	TRUE	TRUE	chr11
RRM2	FALSE	TRUE	TRUE	TRUE	chr2
RSPO2	TRUE	TRUE	TRUE	TRUE	chr8
RSPO3	TRUE	TRUE	TRUE	TRUE	chr6
RUNX1	TRUE	TRUE	TRUE	TRUE	chr21
SAMD9	FALSE	FALSE	FALSE	TRUE	chr7
SAMD9L	FALSE	TRUE	TRUE	TRUE	chr7
SDHA	FALSE	TRUE	TRUE	TRUE	chr5
SDHAF2	FALSE	FALSE	FALSE	TRUE	chr11
SDHB	FALSE	TRUE	TRUE	TRUE	chr1
SDHC	FALSE	TRUE	TRUE	TRUE	chr1
SDHD	FALSE	TRUE	TRUE	TRUE	chr11
SETBP1	TRUE	TRUE	TRUE	TRUE	chr18
SETD2	FALSE	TRUE	TRUE	TRUE	chr3
SF1	TRUE	TRUE	TRUE	TRUE	chr11
SF3B1	TRUE	TRUE	TRUE	TRUE	chr2
SH2B3	FALSE	TRUE	TRUE	TRUE	chr12
SHH	TRUE	TRUE	TRUE	TRUE	chr7
SIGLEC10	FALSE	FALSE	TRUE	TRUE	chr19
SLC19A1	TRUE	FALSE	FALSE	FALSE	chr21
SLC22A2	TRUE	FALSE	FALSE	FALSE	chr6
SLC25A13	FALSE	FALSE	TRUE	TRUE	chr7
SLCO1B3	TRUE	FALSE	FALSE	FALSE	chr12
SLX4	FALSE	TRUE	TRUE	TRUE	chr16
SMAD2	TRUE	TRUE	TRUE	TRUE	chr18
SMAD3	TRUE	TRUE	TRUE	TRUE	chr15
SMAD4	TRUE	TRUE	TRUE	TRUE	chr18
SMARCA4	TRUE	TRUE	TRUE	TRUE	chr19
SMARCB1	TRUE	TRUE	TRUE	TRUE	chr22
SMARCE1	FALSE	FALSE	FALSE	TRUE	chr17
SMC1A	TRUE	TRUE	TRUE	TRUE	chrX
SMC3	TRUE	TRUE	TRUE	TRUE	chr10
SMO	TRUE	TRUE	TRUE	TRUE	chr7
SNAPC3	FALSE	FALSE	TRUE	TRUE	chr9
SOD2	TRUE	FALSE	FALSE	FALSE	chr6
SOS1	FALSE	FALSE	FALSE	TRUE	chr2
SOS2	FALSE	FALSE	FALSE	TRUE	chr14
SPOP	TRUE	TRUE	TRUE	TRUE	chr17
SPRED1	FALSE	FALSE	FALSE	TRUE	chr15
SPRY4	TRUE	TRUE	TRUE	TRUE	chr5
SRC	TRUE	TRUE	TRUE	TRUE	chr20
SRP72	FALSE	TRUE	TRUE	TRUE	chr4
SRSF2	TRUE	TRUE	TRUE	TRUE	chr17
STAG2	TRUE	TRUE	TRUE	TRUE	chrX
STAT3	FALSE	FALSE	FALSE	TRUE	chr17
STAT5B	FALSE	TRUE	TRUE	TRUE	chr17
STAT6	FALSE	TRUE	TRUE	TRUE	chr12
STK11	TRUE	TRUE	TRUE	TRUE	chr19
STRADA	FALSE	FALSE	FALSE	TRUE	chr17
SUFU	TRUE	TRUE	TRUE	TRUE	chr10
SULT1A1	TRUE	FALSE	FALSE	FALSE	chr16
SUZ12	TRUE	TRUE	TRUE	TRUE	chr17
TACC3	TRUE	TRUE	TRUE	TRUE	chr4
TACSTD2	TRUE	TRUE	TRUE	TRUE	chr1
TAFA2	FALSE	FALSE	FALSE	TRUE	chr12
TCF3	FALSE	TRUE	TRUE	TRUE	chr19
TERC	FALSE	TRUE	TRUE	TRUE	chr3
TERT	FALSE	TRUE	TRUE	TRUE	chr5
TET1	TRUE	TRUE	TRUE	TRUE	chr10
TET2	TRUE	TRUE	TRUE	TRUE	chr4
TET3	TRUE	TRUE	TRUE	TRUE	chr2
TFE3	FALSE	TRUE	TRUE	TRUE	chrX
TFG	TRUE	TRUE	TRUE	TRUE	chr3
TGFBR2	TRUE	TRUE	TRUE	TRUE	chr3
TLX1	FALSE	TRUE	TRUE	TRUE	chr10
TMEM127	FALSE	FALSE	FALSE	TRUE	chr2
TMPRSS2	TRUE	TRUE	TRUE	TRUE	chr21
TNFAIP3	FALSE	FALSE	FALSE	TRUE	chr6
TNFRSF14	FALSE	FALSE	FALSE	TRUE	chr1
TP53	TRUE	TRUE	TRUE	TRUE	chr17
TP53BP1	FALSE	FALSE	FALSE	TRUE	chr15
TP73	FALSE	TRUE	TRUE	TRUE	chr1
TPMT	TRUE	FALSE	FALSE	FALSE	chr6
TRAF7	FALSE	TRUE	TRUE	TRUE	chr16
TRRAP	TRUE	TRUE	TRUE	TRUE	chr7
TSC1	TRUE	TRUE	TRUE	TRUE	chr9
TSC2	TRUE	TRUE	TRUE	TRUE	chr16
TTYH1	FALSE	TRUE	TRUE	TRUE	chr19
TYMS	TRUE	TRUE	TRUE	TRUE	chr18
TYR	TRUE	FALSE	FALSE	FALSE	chr11
U2AF1	TRUE	TRUE	TRUE	TRUE	chr21
U2AF2	TRUE	TRUE	TRUE	TRUE	chr19
UBA1	FALSE	FALSE	FALSE	TRUE	chrX
UBR5	FALSE	FALSE	TRUE	TRUE	chr8
UGT1A1	TRUE	FALSE	FALSE	FALSE	chr2
UMPS	TRUE	FALSE	FALSE	FALSE	chr3
USP7	FALSE	FALSE	TRUE	TRUE	chr16
VHL	TRUE	TRUE	TRUE	TRUE	chr3
WRN	FALSE	TRUE	TRUE	TRUE	chr8
WT1	TRUE	TRUE	TRUE	TRUE	chr11
XPO1	FALSE	FALSE	FALSE	TRUE	chr2
XRCC2	FALSE	TRUE	TRUE	TRUE	chr7
YAP1	FALSE	TRUE	TRUE	TRUE	chr11
ZBTB16	TRUE	TRUE	TRUE	TRUE	chr11
ZFTA	FALSE	FALSE	FALSE	TRUE	chr11
ZRSR2	TRUE	TRUE	TRUE	TRUE	chrX
